trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
149,False,"{'a': 0.3, 'e': 0.22145178723886091}",25,13,-12.011101371423287,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
150,False,"{'a': 0.3, 'e': 0.2192372693664723}",25,5,-9.754582578527904,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
151,False,"{'a': 0.3, 'e': 0.21704489667280757}",20,11,15.383237855258578,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.3, 'e': 0.2148744477060795}",25,17,9.438494544690807,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.3, 'e': 0.2127257032290187}",20,3,25.312136617069008,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.3, 'e': 0.21059844619672852}",25,3,4.219668396979582,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
155,False,"{'a': 0.3, 'e': 0.20849246173476124}",20,0,25.027084332629954,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.3, 'e': 0.2064075371174136}",25,11,1.3212229176872479,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.3, 'e': 0.20434346174623946}",30,11,24.190059041320104,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.3, 'e': 0.2023000271287771}",25,14,19.553323575861178,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.3, 'e': 0.20027702685748933}",20,8,12.850772000564064,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.3, 'e': 0.19827425658891443}",25,11,2.8374657897331628,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.3, 'e': 0.19629151402302528}",20,3,-12.14721989727062,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.3, 'e': 0.19432859888279502}",20,3,14.66927129295475,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.3, 'e': 0.19238531289396707}",25,18,11.030196815088495,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.3, 'e': 0.1904614597650274}",35,18,-10.455300212986954,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
165,False,"{'a': 0.3, 'e': 0.1885568451673771}",20,0,-7.3716652477963605,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
166,False,"{'a': 0.3, 'e': 0.18667127671570335}",20,0,3.4790881468471726,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
167,False,"{'a': 0.3, 'e': 0.1848045639485463}",20,0,-38.73206372936955,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
168,False,"{'a': 0.3, 'e': 0.18295651830906084}",20,8,25.577743079395262,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.3, 'e': 0.18112695312597024}",25,20,9.19722360871127,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.3, 'e': 0.17931568359471053}",20,0,21.313574500916488,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
171,False,"{'a': 0.3, 'e': 0.17752252675876343}",25,0,5.6106450854017655,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
172,False,"{'a': 0.3, 'e': 0.1757473014911758}",20,8,4.820971216725544,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.3, 'e': 0.17398982847626404}",25,6,38.29971541355117,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
